Level I,Level II,Level III
Beef,Roast,"Cooked, Sliced, Frozen"
Beef,Roast,"Cooked, Sliced, Refrigerated"
Beef,Roast,"Cooked, Unsliced, Frozen"
Beef,Roast,"Cooked, Unsliced, Refrigerated"
Beef,Corned Beef,"Cooked, Sliced, Frozen"
Beef,Corned Beef,"Cooked, Sliced, Refrigerated"
Beef,Corned Beef,"Cooked, Unsliced, Refrigerated"
Beef,Corned Beef,"Raw, Unsliced, Refrigerated"
Beef,Corned Beef,"Raw/Cooked, Unsliced, Frozen"
Beef,Pastrami,"Pastrami, Cooked, Sliced, Frozen"
Beef,Pastrami,"Pastrami, Cooked, Sliced, Refrigerated"
Beef,Pastrami,"Pastrami, Cooked, Unsliced, Frozen"
Beef,Pastrami,"Pastrami, Cooked, Unsliced, Refrigerated"
Beef,Prime Rib & London Broil,"Cooked, Sliced, Frozen"
Beef,Prime Rib & London Broil,"Cooked, Sliced, Refrigerated"
Beef,Prime Rib & London Broil,"Cooked, Unsliced, Frozen"
Beef,Prime Rib & London Broil,"Cooked, Unsliced, Refrigerated"
Beef,Ground,"Raw, Frozen"
Beef,Ground,"Raw, Refrigerated"
Beef,Ground,"Raw, Whole Muscle, Frozen"
Beef,Ground,"Raw, Whole Muscle, Refrigerated"
Beef,Veal,Bones
Beef,Veal,"Chops, Frozen"
Beef,Veal,"Chops, Refrigerated"
Beef,Veal,"Cutlets, Frozen"
Beef,Veal,"Cutlets, Refrigerated"
Beef,Veal,"Leg, Frozen"
Beef,Veal,"Leg, Refrigerated"
Beef,Veal,"Other, Frozen"
Beef,Veal,"Other, Refrigerated"
Beef,Veal,Patties
Beef,Veal,"Prepared, Frozen"
Beef,Veal,"Prepared, Refrigerated"
Beef,Veal,"Roasts, Frozen"
Beef,Veal,"Roasts, Refrigerated"
Beef,Processed,"Breaded Specialties, Frozen"
Beef,Processed,"Chipped, Frozen"
Beef,Processed,"Chipped, Refrigerated"
Beef,Processed,"Ground, Cooked, Frozen"
Beef,Processed,"Patties, Cooked, Frozen"
Beef,Processed,"Philly Style, Frozen"
Beef,Processed,"Philly Style, Refrigerated"
Beef,Processed,"Prepared, Other, Frozen"
Beef,Processed,"Prepared, Other, Refrigerated"
Beef,Processed,"Processed, Raw, Frozen"
Beef,Processed,"Processed, Raw, Refrigerated"
Beef,Processed,"Shaved Steak, Bulk, Frozen"
Beef,Processed,"Shaved Steak, Portion, Frozen"
Beef,Processed,"Sloppy Joe Meat, Frozen"
