name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 5 (Maryland),1dd684b5-b8f1-4b93-b89a-c2cb1efb8fbd,4600368,HAM PROSCIUTTO SLICED ITALIAN REF,Brand: ANTICA CORTE | Pack Size: 4 X 16OZ,MEATS,,,,0198ab60-f14a-74c5-a860-8e3cb30279f7,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 2 (New Jersey),c002720a-74b2-4484-8cd5-b80a392c9ad2,3901312F,CHICKEN THIGH BONELESS REF,Brand: PACKER | Pack Size: 4 X 10LB,MEATS,,71300,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/4b7e556a-0bfb-45e5-ab55-5cd00a75c334.png'],00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),4297be3e-ef13-4e44-ba24-db1baeb19ce0,8000120,"HAT CHEF PLEATED 10"" DISPOSABLE DRY",Brand: PACKER | Pack Size: 1 X 24 CT,NON-FOOD DISPOSABLES,,RCH10,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/ccaf1954-78d3-5c1e-921c-42e569dc3c66.png'],0192a4ff-b359-7e2b-b006-aaa7947b2a52,div2_nj
Ferraro Foods - NCR - Division 6 (Connecticut),d5d6e9c8-5277-4883-a4e7-72841b1c4640,140260,POTATOES SLICED CANNED DRY,Brand: PACKER | Pack Size: 6 X #10,GROCERY,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/4e091fb4-f8d6-52c5-ab2f-b7d84f62a56b.jpg'],00000000-0000-0000-0000-000000000000,div6_ct
Ferraro Foods - NCR - Division 3 (North Carolina),94976f5c-2234-42fc-b81b-a7776580819c,9860315,CONTAINER PLASTIC HINGED 6X6 BLACK DRY,Brand: HOOTERS | Pack Size: 1 X 300CT,NON-FOOD DISPOSABLES,721844432597.0,4666620,,01989f9d-4441-7fc4-9f84-b630d057945a,"div2_nj, div3_nc"
Ferraro Foods - NCR - Division 6 (Connecticut),f161f108-2163-4654-bf92-65a162634144,380428,DRINK KIWI STRAWBERRY 16 OZ DRY,Brand: SNAPPLE | Pack Size: 24 X 16OZ,GROCERY,,,,019075b8-5e4e-76e1-a715-ef5fb53a5d87,div6_ct
Ferraro Foods - NCR - Division 14 (New York East),47a2e18c-660d-4ba0-84b5-fb45f3c7b0d2,7600902,CHEESE SOFT ITALIAN ROBIOLA REF,Brand: PACKER | Pack Size: 9 X 100GR,SPECIALITY CHEESE,,007550,"['https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/b2a20f32-1af2-5b43-a723-9687137e03d6.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/ab629d99-c4c4-53dc-a95a-2bb94f12cf5d.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/3510fe71-afd5-5943-a98e-847cd24f8b7c.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/67a5e9f6-1a2f-592f-a28a-f5931142786a.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/5a617cee-68d8-5db0-bdd1-9156594b5393.png']",00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 5 (Maryland),d15cc951-6f84-46bb-adb8-b98e66a9f210,5060152,PEPPERS GREEN STRIPS CANNED DRY,Brand: PACKER | Pack Size: 6 X #10CN,GROCERY,,04025,,0192b4c8-87d5-7f6f-9df8-dff502021198,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md"
Ferraro Foods - NCR - Division 3 (North Carolina),bb9997df-f7d4-464d-b34f-cac752ffae26,8566604,CLOCK WALL FERRARO FOODS DRY,Brand: FERRARO | Pack Size: 30 X 1CT,OTHER,,,,00000000-0000-0000-0000-000000000000,"div2_nj, div3_nc, div5_md"
Ferraro Foods - NCR - Division 3 (North Carolina),fd0cbd9f-ff57-48f2-b806-f76123219a3b,9860058,CRAB CAKE 4 OZ EXTRA FANCY FRZ,Brand: KAPTAIN KETCH | Pack Size: 1 X 15CT,SEAFOOD,54336230945.0,KK23094BX,,0198c30f-651d-7b51-beda-93756b3fa20b,"div2_nj, div3_nc"
