name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 2 (New Jersey),7aefdd11-80c0-4d10-91cc-74f72454638d,0000005,PRODUCE LETTUCE SALAD MIX REF,Brand: PACKER | Pack Size: 4 X 5#,PRODUCE,,,,0193b699-b971-76d8-870b-e03a1d3a0f00,div2_nj
Ferraro Foods - NCR - Division 6 (Connecticut),b12c0a19-2e41-45ee-8d71-794a3bdc63dc,0000006,PRODUCE PEPPER BELL GREEN X-LARGE BUSHEL REF,Brand: PACKER | Pack Size: 1 X BUSHEL,PRODUCE,,48110,[],0195cbb3-dc91-7068-879b-e5277b2fb5ed,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 6 (Connecticut),4bbe577b-1f44-4983-bd8d-5af1acb4a706,0000007,PRODUCE LETTUCE SHREDDED REF,Brand: PACKER | Pack Size: 4 X 5#,PRODUCE,,,[],0192a4ff-9fcf-7764-8770-8bce922ccaeb,div6_ct
Ferraro Foods - NCR - Division 5 (Maryland),86143f64-04f0-47cf-bfc6-1f3f4ef2b895,0000008,PRODUCE TOMATO PLUM ROMA REF,Brand: PACKER | Pack Size: 1 X 25#,PRODUCE,,,[],0195cbb3-d7f9-7a19-be28-eaa6d14e6c88,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 14 (New York East),fb397479-b248-4690-ae5c-708192028669,0000010,PROD TOMATO HEIRLOOM MIX GRAPE,Brand: PACKER | Pack Size: 12 X 1PT,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/33536e67-6638-5d7f-be5f-7d7da66b9f30.jpg'],00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 3 (North Carolina),3614e1bb-7adc-433d-9551-1e7621914b2d,0000012,PRODUCE MUSHROOMS MEDIUM REF,Brand: PACKER | Pack Size: 1 X 10#,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/29902c60-7949-5f83-8b9d-abf7cfa6d207.png'],00000000-0000-0000-0000-000000000000,"div12_florida, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 5 (Maryland),a727fad8-b2d5-43fc-9081-0c32483144fe,0000014,PRODUCE GREENS KALE REF,Brand: PACKER | Pack Size: 1 X CASE,PRODUCE,,,[],0195cbb3-d8ae-734f-b9b4-c716b59a39b0,"div14_ny_east, div5_md"
Ferraro Foods - NCR - Division 3 (North Carolina),f858aab0-4d7b-4c78-8dbc-8bf2a31edbf8,0000019,PRODUCE ONIONS RED JUMBO REF,Brand: PACKER | Pack Size: 1 X 25#,PRODUCE,,,[],0192a4ff-ab24-7d4e-85da-57e93056784d,"div12_florida, div14_ny_east, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 6 (Connecticut),b4e3805c-1634-462e-90b6-95230dfbdb6f,0000020,PRODUCE ONIONS YELLOW JUMBO SPANISH REF,Brand: PACKER | Pack Size: 1 X 50#,PRODUCE,,44510,[],0192a4ff-af6c-7c0e-a2d4-9ac9d4d99fda,"div12_florida, div14_ny_east, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 5 (Maryland),9abe5382-3c3d-4974-abf3-1222f0cfc72b,0000022,PRODUCE CUCUMBERS RETAIL REF,Brand: PACKER | Pack Size: 1 X 24 CT,PRODUCE,,,[],01966dfd-9444-7d11-830d-3410e9de290f,"div12_florida, div5_md"
